Questions,Answers
Paano magtanim ng palay gamit ang systemang “direct seeding”?,"Ang direct seeding ay pagtatanim ng palay nang hindi na kinakailangang itanim muna sa punlaan at ilipat (transplanting).
May dalawang paraan:
Dry seeding – itanim ang buto sa tuyong lupa
Wet seeding – itanim sa lupa na basa o may tubig
Hakbang:
Bungkalin at patagin ang lupa
Itanim ang binhi nang pantay-pantay gamit ang kamay, seeder, o makina
I-manage agad ang tubig at damo dahil mas mabilis tumubo ang damo rito
Benepisyo: mas tipid sa oras at labor, pero kailangan ng mas maayos na pamamahala sa damo at patubig.
"
Paano matutulungan ng mulching ang pagyabong ng palay?,"Ang mulching ay paglalagay ng pantakip sa lupa gamit ang dayami, damo, o plastic mulch.
Mga benepisyo sa palay:
Pinipigil ang damo sa palayan
Pinapanatili ang moisture o halumigmig sa lupa
Pinoprotektahan ang lupa laban sa sobrang init o ulan
Nadadagdagan ang sustansya ng lupa kapag nabubulok ang organic mulch
Gamit ito, mas malusog at matatag ang tubo ng palay lalo na sa mga lugar na kulang sa tubig."
Ano ang epekto ng paggamit ng malupit na pestisidyo sa kalusugan ng tao?,"Ang sobrang paggamit o maling paggamit ng malalakas na pestisidyo ay may masamang epekto sa tao:
Pagkalason (hilo, pagsusuka, hirap sa paghinga)
Pangmatagalang sakit gaya ng kanser, problema sa atay o bato
Pagkalapnos ng balat o iritasyon sa mata
Maaari rin itong makontamina ang tubig at lupa
Paalala:
Gumamit lang ng pestisidyo kapag kailangan
Sundin ang tamang sukat, oras, at gamit
Gumamit ng Personal Protective Equipment (PPE) tulad ng gloves, mask, at apron
Maghugas agad pagkatapos gumamit"
Ano ang mga gamit na kinakailangan para sa tamang pag-aani ng palay gamit ang makina?,"Kung gagamit ng makina sa pag-aani ng palay, narito ang mga kailangang kagamitan:
Combine Harvester – ginagamit sa sabay-sabay na pag-aani, paggiik, at paglilinis
Reaper – pangputol ng palay pero hindi ginigiik
Threshing machine – para ihiwalay ang butil sa dayami kung mano-mano ang pagputol
Mechanical dryer – parapatuyuin agad ang palay
Sacks at weighing scale – para sa maayos na imbakan at pagbilang ng ani
Benepisyo ng makina: mas mabilis, pantay, at mas kaunting aberya gaya ng butil na nawawala o nasasayang."
Paano mag-apply ng foliar fertilizer sa palay?,"Ang foliar fertilizer ay abono na iniispray sa dahon ng palay.
Paano gamitin:
Gamitin ito sa umaga o hapon, iwasan ang tirik na araw
Siguraduhing pantay ang pag-spray sa lahat ng bahagi ng tanim
Gamitin ito bilang supplement, hindi pamalit sa abono sa lupa
Mag-apply sa tamang growth stage (karaniwang sa tillering o panicle initiation)
Benepisyo: Mas mabilis ang absorption ng nutrients at masigla ang tubo ng palay."
Paano matutulungan ng mulching ang pagyabong ng palay?,"Ang mulching ay paglalagay ng pantakip sa lupa gaya ng dayami.
Benepisyo:
Pinipigil ang pag-usbong ng damo
Pinapanatili ang halumigmig ng lupa
Binabawasan ang sobrang init at erosion
Nakakatulong sa pagdagdag ng organic matter sa lupa
Resulta: Mas malusog ang lupa, mas maganda ang tubo ng palay."
"Ano ang mga uri ng pataba na nakatutok sa nitrogen, phosphorus, at potassium para sa palay?","May tatlong pangunahing nutrient na kailangan ng palay:
Nitrogen (N) – Para sa paglago ng dahon (hal: Urea)
Phosphorus (P) – Para sa ugat at pamumulaklak (hal: 16-20-0 o Ammophos)
Potassium (K) – Para sa resistensya at pagbunga (hal: 0-0-60 o Muriate of Potash)
Balanced fertilizers gaya ng 14-14-14 o 16-16-16 ay may lahat ng ito.
"
Ano ang mga gamit na kinakailangan para sa tamang pag-aani ng palay gamit ang makina?,"Combine harvester – sabay na nag-aani, naggigiik, at naglilinis
Reaper – pamputol ng palay
Threshing machine – naghihiwalay ng butil mula sa dayami
Mechanical dryer – pantuyo ng palay
Sako at timbangan – para sa maayos na imbakan at bilang ng ani"
Ano ang mga benepisyo ng paggamit ng Integrated Pest Management (IPM) sa palayan?,"Binabawasan ang paggamit ng pestisidyo
Pinoprotektahan ang kalikasan at kalusugan
Ginagamit ang natural na kaaway ng peste
Nakakatipid sa gastos
Mas sustainable at ligtas para sa mga magsasaka at tanim
"
Paano malalaman kung ang palay ay nagiging overripe na?,"Kulay ginto ang mga uhay pero nagsisimula nang malagas
Ang butil ay sobrang tuyo at madaling mabasag
Mas madali itong mahulog sa lupa sa pag-aani
Tip: Umane kapag 80–85% ng butil sa uhay ay hinog para maiwasan ito."
Paano maiwasan ang pagkalugi sa pagbenta ng palay sa merkado?,"Magbenta sa tamang panahon – hintayin ang mataas na presyo
Sumali sa kooperatiba o farmers’ group
Gamitin ang tamang timbangan at kalidad ng palay
Iwasan ang middleman kung kaya
Gumamit ng apps o tech para masubaybayan ang presyo ng palay"
Paano mapapa-boost ang productivity ng palay sa pamamagitan ng advanced irrigation techniques?,"Gamitin ang Alternate Wetting and Drying (AWD) – tipid sa tubig pero mataas ang ani
Mag-install ng irrigation control structures tulad ng pipa at kanal
Gumamit ng drip o sprinkler system sa upland rice
Resulta: Tipid sa tubig, mas maraming ani, at mas kaunting sakit/peste."
Ano ang mga karaniwang sakit na tumatama sa palay na may kinalaman sa mga insekto?,"Tungro – dala ng berdeng leafhopper
Rice black bug damage – sinisipsip ang tangkay
Stemborer damage – nauuwi sa deadheart at whitehead
Laban: IPM, paggamit ng resistant varieties, at tamang pesticide timing"
Paano gamitin ang rice hulls bilang organic na pataba?,"Sunugin ang ipa para maging carbonized rice hull (CRH)
Ihalo sa compost o abono
Pwede ring gamitin bilang mulch o soil conditioner
Benepisyo: Binubuhay ang lupa at pinabibilis ang pagtubo ng tanim"
Paano suriin ang kalidad ng tubig na ginagamit sa irigasyon ng palayan?,"Tingnan ang kulay at amoy – dapat malinaw at walang baho
Sukatin ang pH level (ideal: 5.5–7.0)
I-check kung may asin, langis, o kemikal
Pwede rin magpa-laboratory test sa DA o LGU
Tamang tubig = mas malusog na palay
"
Ano ang mga teknolohiyang tumutulong sa mga magsasaka upang mapadali ang paghahanda ng bukirin?,"Rotavator at harrow – pangdurog ng lupa
Laser leveler – pantay na lupa = pantay na patubig
Drone – para sa mabilis na survey at pagtatanim
Rice transplanter – pantay at mabilis na paglipat ng punla
Bentahe: Mas mabilis, mas tipid, mas magaan sa katawan"
Ano ang epekto ng climate change sa mga sistema ng irigasyon sa palayan?,"Hindi regular ang ulan – kulang o sobra sa tubig
Mas mabilis matuyo ang lupa dahil sa init
Baha na sumisira sa irigasyon
Solusyon: Mag-imbak ng tubig, gumamit ng AWD, at ayusin ang drainage"
Paano magtanim ng palay sa lugar na madalas magkaroon ng typhoon?,"Gumamit ng early-maturing o storm-resistant varieties
Mag-adjust ng planting calendar para iwasan ang panahon ng bagyo
Patagin at palakasin ang levees o pilapil
Gumamit ng raised beds kung sobrang putik ang lupa
Magtanim ng buffer crops sa paligid
"
Paano magsagawa ng post-harvest treatment sa palay para mapahaba ang shelf life nito?,"Patuyuin agad ang palay sa tamang moisture content (14%)
Gumamit ng mechanical dryer para pantay ang pagpapatuyo
Ilagay sa malinis, tuyong sako
Itago sa maaliwalas na lugar na walang peste at kahalumigmigan
Pwede ring gumamit ng hermetic storage (airtight na container)"
Gaano katagal bago maani ang palay?,"Inbred varieties: 110–120 araw
Hybrid varieties: 100–110 araw
Mula sa tanim hanggang anihan, nasa 3 hanggang 4 na buwan ang kabuuang tagal."
Anong mga uri ng palay ang tinatanim sa Pilipinas?,"Inbred varieties – Karaniwang ginagamit, mura ang binhi (hal: NSIC Rc222)
Hybrid varieties – Mas mataas ang ani, pero mas mahal ang binhi (hal: Mestiso 20)
Specialty rice – Organic, black rice, o aromatic rice tulad ng Jasponica
Tip: Piliin ang variety base sa klima, lupa, at panahon ng pagtatanim.
"
Paano magtanim ng palay?,"Transplanting – Tumubo muna sa seedbed, saka ililipat sa palayan (mas kontrolado)
Direct seeding – Binhi ay isasabog o ididiretso sa lupa (mas mabilis, mas tipid)
Hakbang:
Maghanda ng lupa
Pumili ng tamang binhi
Magtanim sa tamang panahon
Maglagay ng pataba
Aalagaan laban sa peste at damo"
Ano ang mga sakit sa palay?,"Karaniwan:
Tungro – paninilaw ng dahon, hindi lumalaki
Blast – may mga batik sa dahon
Bacterial blight – pagkaburo ng dahon
Sheath blight – pamumuti at pagkabulok sa bandang ibaba( Kulang sa nutrients, labis na tubig, o sobrang siksik ang tanim)
"
Paano maiwasan ang mga sakit sa palay?,"Gumamit ng resistant varieties
Iwasan ang sobrang tubig at sobrang pataba
Magtanim ng tamang distansya
Linisin ang paligid ng palayan
Gumamit ng Integrated Pest Management (IPM)
Huwag paulit-ulit sa iisang variety"
Paano iwasan ang mga damo sa palayan?,"Gumamit ng pre-emergent herbicide bago tumubo ang damo
Magbabad ng tubig (water management) para hindi tumubo
Weeding – mano-mano o gamit ang rotary weeder
Magmulch o gumamit ng straw sa paligid
Regular na pagmamasid ay susi para maagapan."
Paano malalaman kung kulang sa nutrisyon ang palay?,"Dilaw o maputla ang dahon = kulang sa nitrogen
Mabagal ang paglaki = kulang sa phosphorus
Mahinang resistensya at madaling dapuan ng sakit = kulang sa potassium
Gumamit ng Leaf Color Chart (LCC) o tissue test para masigurado"
Paano protektahan ang palay sa tag-init?,"Gumamit ng varieties na drought-tolerant
Magpatubig gamit ang Alternate Wetting and Drying (AWD)
Magmulch ng dayami sa paligid para panatilihin ang halumigmig
Magtanim sa mas maagang panahon bago tumindi ang init"
Ano ang dapat gawin para protektahan ang palay sa tag-ulan?,"Gumamit ng varieties na resistant sa baha
Magtanim sa raised bed o elevated field
Siguraduhing maayos ang kanal at drainage
Iwasan ang sobrang siksik na pagtatanim para hindi magka-sakit ang palay
Gumamit ng rain gauge para masubaybayan ang ulan
"
Paano malalaman kung luma na ang palay?,"Matigas at tuyo na ang butil
Ang butil ay walang kislap o kulang sa kalidad
Ang butil ay mas maliit at hindi na kasing tigas ng bagong harvest
Kung naabot na ang itinakdang storage life o oras ng pag-iimbak, maaaring mabawasan na ang kalidad ng palay."
Paano maiiwasan ang mababang ani ng palay?,"Piliin ang tamang uri ng binhi para sa iyong lugar
Pagtutok sa tamang pagsasaka: tamang distansya, pag-aalaga, at pataba
Iwasan ang sobrang o kulang sa tubig at magpatubig nang regular
Pangangalaga sa kalusugan ng tanim: protektahan ang palay laban sa peste at sakit
Gamitin ang makabagong teknolohiya tulad ng irrigation system, sensors, at data-driven farming tools"
Ilang araw bago tumubo ang binhi ng palay?,"Karaniwan, 3-7 araw matapos itanim ang binhi, magsisimulang tumubo. Ang tamang lupa at tubig ay mahalaga para sa mabilis na pagtubo."
Paano pumili ng magandang binhi ng palay?,"Tingnan ang kalidad ng binhi – Dapat ay malinis, buo, at walang sakit
Pumili ng varieties na angkop sa klima at lupa
Piliin ang hybrid varieties kung nais ng mataas na ani, o inbred varieties kung nais ng mura at pangmatagalang gamit
I-verify ang binhi sa mga lokal na ahensya tulad ng PhilRice o mga eksperto"
Kailan dapat mag-abono sa palay?,"Bago magtanim: Mag-apply ng basal fertilizer (phosphorus, potassium)
Pagkatapos ng unang linggo: Nitrogen (kung kinakailangan)
Bago magtubo ang uhay: Para masustentuhan ang paglaki
Sa paminsang interval sa panahon ng pamumunga para sa dagdag nutrisyon"
Ano ang epekto ng sobrang ulan sa palay?,"Pagka-baha – Ang sobrang ulan ay maaaring magdulot ng pagbaha, na maaaring magpahina ng mga ugat at magdulot ng pagkabulok ng mga halaman
Pagka-sira ng mga uhay – Ang mabigat na ulan ay maaaring magdulot ng pagkabasag o pagkasira ng uhay at magpababa ng kalidad ng butil
Pagka-kontaminado ng sakit – Tumataas ang panganib ng mga sakit tulad ng bacterial blight at sheath blight."
Anong natural na paraan ng pagtaboy sa kuhol?,"Gamitin ang mga halamang gamot tulad ng tobacco at bawang na inilalagay sa palayan
Maglagay ng asin sa mga lugar kung saan madalas magtago ang mga kuhol"
Anong epekto ng baha sa palay?,"Pagkabasag ng mga tangkay ng palay
Pagbaba ng kalidad ng ani dahil sa pagkabasa ng mga butil
Pagdami ng mga sakit tulad ng sheath blight o brown spot
Pagkamatay ng mga tanim kung matagal ang pagbaha"
Paano linisin ang palayan bago magtanim?,"Tanggalin ang mga damo sa pamamagitan ng mechanical weeder o manual na pag-alis
Magiging madali ang paghahanda kung may tamang drainage system upang hindi magtubig ang palayan
I-level ang lupa at alisin ang mga natirang halaman o debris
Maglagay ng organic matter tulad ng compost para mas maging fertile ang lupa"
Puwede bang magtanim ng palay ng dalawang beses sa isang taon?,"Oo, puwede. Sa mga lugar na may tamang irigasyon at maayos na klima, maaari magtanim ng palay dalawang beses sa isang taon (kadalasan tag-init at tag-ulan). Sa ganitong paraan, mas mataas ang pagkakataon ng magandang ani, basta't may sapat na oras ng pahinga ang lupa at tamang pangangalaga sa mga pananim."
Paano protektahan ang palay laban sa mga insekto?,"Gamitin ang Integrated Pest Management (IPM) na kombinasyon ng natural na paraan (predator insects) at tamang pag-spray ng pesticide.
Magtanim ng resistant varieties ng palay
Gumamit ng organic pesticide tulad ng neem oil
Magtanim ng tamang distansya para hindi magsiksikan at madaling dumaan ang hangin
Regular na surveillance upang maagapan ang mga peste sa kanilang early stages."
Paano gamitin ang compost mula sa dayami ng palay?,"Gilingin ang dayami at gawing compost sa pamamagitan ng paghahalo ng iba pang mga organic matter tulad ng manure at kitchen waste
I-apply ang compost sa lupa bago magtanim ng palay upang mapabuti ang kalidad ng lupa
Maglagay ng compost sa mga tagiliran ng palayan para matulungan ang mga ugat ng palay na mag-absorb ng nutrients."
Saan makakakuha ng libreng binhi ng palay?,"PhilRice (Philippine Rice Research Institute) – nag-aalok ng mga libreng binhi sa mga proyekto o programa
LGUs (Local Government Units) – Maaaring magbigay ng libreng binhi sa mga magsasaka sa mga proyekto o assistance program
Mga agricultural cooperatives o farmers’ associations – Karaniwang may mga programang nagbibigay ng libreng binhi."
Paano gumamit ng organic fertilizer sa palay?,"Mag-apply ng organic fertilizer tulad ng compost o animal manure sa simula ng pagtatanim
Gumamit ng liquid organic fertilizer para magbigay ng dagdag nutrisyon sa mga halaman
I-mulch ang palayan gamit ang dayami para mapanatili ang moisture at maiwasan ang pagkatuyo ng lupa."
Anong buwan kadalasang may peste?,"Kadalasang dumadami ang mga peste sa panahon ng tag-ulan (June to October), dahil dito tumutubo ang damo at iba pang host plants ng mga peste.
Tingnan ang mga tagsibol at early summer months (March-May), dahil dito ay magsisimula ang aktibidad ng ilang mga peste tulad ng rice thrips at leafhoppers."
Ano ang epekto ng tagtuyot sa palay?,"Mabagal na paglaki ng palay
Pagkamatay ng mga uhay o hindi magandang pagkakaroon ng butil
Pagka-damage sa root system, kaya’t mahirap mag-absorb ng nutrients at tubig
Mababang ani at kawalan ng sustansya sa mga butil."
Ano ang palatandaan ng may sakit na palay?,"Pamumuti ng mga dahon o mga batik
Pagkakaroon ng mga ulser o spots sa mga dahon at tangkay
Pagkamatay ng mga batang tanim
Walang paglago at hindi pagpapakita ng bagong dahon
Pagbaba ng kalidad ng ani sa oras ng pag-aani."
Ano ang lodging sa palay?,"Lodging ay ang kondisyon kung saan ang mga tangkay ng palay ay natutumba o bumabagsak.
Ito ay karaniwang nangyayari kapag ang palay ay masyadong mataas o mahina ang mga tangkay (dahil sa sobrang pataba o sobrang ulan)."
Paano maiiwasan ang lodging ng palay ,"Gumamit ng mga varieties na matibay at hindi madaling matumba
Iwasan ang sobrang pataba at huwag masyadong magtanim ng siksik
Pag-aalaga ng mga tangkay: Regular na alagaan ang mga halaman at iwasang magbabad ang mga tangkay sa tubig
Tamang pag-spray ng mga growth regulators na magpapa-stronger sa mga tangkay."
Ano ang hybrid rice?,"Ang hybrid rice ay uri ng palay na pinaghalong dalawang magkaibang variety para maging mas malakas, mataas ang ani, at mas matibay sa sakit at peste. Mas mataas ang ani nito kumpara sa ordinaryong inbred rice varieties."
Ano ang pre-germination ng binhi?,"Ito ay ang paunang pagpapakulo o pagbabad ng binhi sa tubig (karaniwan 24 oras), tapos ay pinapausbong ito sa loob ng 1-2 araw sa ilalim ng basang sako. Ginagawa ito para mas mabilis at sabay-sabay tumubo ang mga binhi."
Paano gawin ang tamang spacing sa tanim?,"Gamit ang 20 cm x 20 cm na distansya ang pagitan ng bawat tanim para sa transplanting method. Nakakatulong ito sa tamang daloy ng hangin, sikat ng araw, at iwas peste at sakit."
Paano malaman kung mataas ang kalidad ng palay?,"Pantay-pantay ang laki ng butil
Walang halong damo o ibang bagay
Walang amoy bulok o amag
Hindi kulubot o puti-puti ang mga butil
Walang butil na sirang-sira o bubok"
Ano ang dapat iwasan sa pagbabad ng binhi?,"Huwag lumampas sa 24 oras ang pagbabad
Huwag gumamit ng maruming tubig
Huwag hayaang masobrahan sa init o lamig ang binhi habang binababad
Iwasang kulang sa bentilasyon sa panahon ng pagpapatubo"
Ano ang upland rice?,"Ang upland rice ay palay na itinatanim sa mga lugar na walang patubig o irigasyon, karaniwang nasa bundok o mataas na lupa. Umaasa ito sa ulan at hindi sa palagian o kinokontrol na tubig."
Paano sumali sa kooperatiba ng magsasaka?,"Magtungo sa lokal na opisina ng DA (Department of Agriculture) o mismong kooperatiba
Magpasa ng application form at requirements (ID, residency, etc.)
Sumailalim sa orientation o meeting
Magbayad ng paunang puhunan o share capital (kung mayroon)"
Ano ang benepisyo ng pagsali sa kooperatiba ng magsasaka?,"Mas murang abono at binhi
Tulong pinansyal at pautang
Training at seminar para sa modernong pagsasaka
Pagkakaisa sa pagbenta ng produkto kaya mas mataas ang presyo
Access sa mga proyekto ng gobyerno"
May libreng training ba para sa mga magsasaka ng palay?,"Oo, nagbibigay ng libreng training ang PhilRice, DA, at TESDA. Kasama dito ang pagtuturo ng modernong teknolohiya, pest control, at pagpapataas ng ani."
Ano ang epekto ng malamig na panahon sa palay?,"Bagal ng pagtubo ng palay
Pagkakaroon ng mababang ani
Maaaring magkaroon ng abnormal na pamumulaklak
Mas madaling kapitan ng sakit ang palay"
Ano ang epekto ng sobrang fertilizer?,"Pagtubo ng labis na dahon pero kaunting butil
Lodging o pagbagsak ng mga tangkay
Pagka-asin ng lupa
Pagdami ng peste at sakit
Pagkakaroon ng lason sa lupa at tubig"
Paano protektahan ang palay sa sobrang araw?,"Panatilihing may sapat na tubig sa pilapil para hindi matuyuan ang tanim.
Gumamit ng mulching o pagtatakip ng dayami para hindi mabilis matuyo ang lupa.
Mag-abono sa tamang oras upang mapalakas ang resistensya ng palay sa init.
Pumili ng variety ng palay na kayang tiisin ang init."
Puwede bang ibenta agad ang bagong aning palay?,"Hindi dapat agad ibenta ang bagong ani kung basa pa. Dapat itong patuyuin muna hanggang umabot sa 14% na moisture content para hindi agad masira, mamaho o magkaroon ng amag."
Ano ang epekto ng hindi pantay na pagdidilig?,"Nagdudulot ng stress sa palay, maaaring bumaba ang ani.
Hindi pantay ang laki ng tanim, kaya mayroong maliit at mahinang butil.
Nagiging madaling kapitan ng sakit at peste ang ibang bahagi ng tanim.
"
Ano ang dahilan ng hindi sabay na pamumulaklak ng palay?,"Maaaring dahil sa hindi sabay-sabay na pagtubo ng binhi.
Hindi pantay na abono o tubig.
Iba-ibang uri ng binhi ang naitanim.
May bahagi ng bukid na kulang sa sikat ng araw.
"
Ano ang epekto ng acidic na lupa sa palay?,"Hindi masipsip ng palay ang nutrients mula sa lupa.
Nagdudulot ng kakulangan sa zinc, phosphorus, at iba pang mineral.
Bumababa ang ani at hindi magandang tubo ng halaman.
Maaaring magresulta sa dilaw o kupas na dahon.
"
Bakit may butas ang dahon ng palay?,"Karaniwang sanhi ito ng insekto tulad ng leaf folder, rice bug, o armyworm.
Pwede ring epekto ng fungal disease.
Kailangang suriin agad at gamutin ng tamang pestisidyo o organic spray."
Bakit hindi sabay-sabay tumutubo ang palay?,"Hindi pantay ang kalidad ng binhi
Hindi pareho ang antas ng tubig at abono
May parte ng bukid na mas matigas o mas maputik ang lupa
Kulang sa pre-germination o hindi tama ang pagbabad ng binhi"
Ano ang epekto ng late planting ng palay?,"Nahuhuli sa panahon ng ulan o natatapat sa tagtuyot
Mas mataas ang posibilidad ng peste at sakit
Nababa ang ani dahil di akma ang panahon sa pamumulaklak at paghinog
Nalulugi sa merkado dahil maaaring mababa na ang presyo"
Ano ang biofertilizer at paano ito gamitin sa palay?,"Ang biofertilizer ay likas na pataba mula sa mga mikrobyo na tumutulong sa tanim para masipsip ang sustansya sa lupa.
Inihahalo ito sa binhi bago itanim o sa lupa sa panahon ng taniman.
Hindi ito nakakalasong kemikal kaya mas ligtas sa lupa at tao."
Ano ang patunay ng magandang harvest?,"Pantay-pantay at buo ang butil ng palay
Mataas ang bigat ng ani kada ektarya
Kaunti ang nasirang halaman at walang sobra sa damo
Walang gaanong pinsala mula sa peste, sakit, o panahon
Ang palay ay walang sobra o kulang sa pagkahinog"
Paano magbenta ng palay sa tamang presyo?,"Alamin muna ang kasalukuyang presyo ng palay sa inyong lugar o sa NFA (National Food Authority).
Ihambing ang presyo ng mga buyer, tulad ng trader, miller, o kooperatiba.
Siguraduhing tuyo at malinis ang ani, may tamang moisture content (hindi basa), para mas mataas ang bentahan.
Maaari ring magbenta bilang grupo o kooperatiba para mas malaki ang kita at hindi tinatawaran.
"
Paano ma-monitor ang presyo ng palay araw-araw?," Bisitahin ang website ng PhilRice, DA (Department of Agriculture), o PinoyRice.com para sa updated na presyo.
Sumali sa Facebook group o Viber group ng mga magsasaka sa inyong rehiyon.
Makipag-ugnayan sa local Municipal Agriculture Office o NFA."
aano makakatipid sa gastos sa pagtatanim ng palay?,"Gumamit ng mga binhing mataas ang ani at matibay sa sakit.
Magtanim gamit ang tamang distansya para hindi sayang ang binhi at abono.
Gumamit ng organic fertilizer o compost mula sa dayami.
Magsanay sa Integrated Pest Management (IPM) para iwas gastos sa kemikal.
Makipag-ugnayan sa DA o PhilRice para sa libreng training at tulong."
Paano alagaan ang palay sa unang buwan ng pagtubo?,"Siguraduhing tama ang patubig: hindi sobra, hindi kulang.
Tanggalin ang damo para hindi makuha ang sustansya ng lupa.
Maglagay ng starter fertilizer tulad ng urea o 14-14-14 kung kailan nararapat.
Bantayan ang insekto at sakit. Gumamit ng tamang pestisidyo kung kailangan.
Suriin ang lupa at tubig kung may sapat na nutrisyon.
"
Ilang kilo ng binhi ang kailangan sa isang ektarya?,"Para sa transplanting: 40–60 kg per hectare.
Para sa direct seeding (broadcast): 60–80 kg per hectare.
Para sa drum seeder o mechanical planter: 30–40 kg per hectare."
Ano ang pinakamagandang paraan ng pag-aani ng palay?,"Gamitin ang combine harvester kung available para mas mabilis, mas malinis, at mas konti ang sayang.
Kung mano-mano, siguraduhing tama ang oras ng pag-aani (pag medyo tuyo na ang palay), at maayos ang pagpatuyo at imbakan."
