Questions,Answers,keywords
Ano ang epekto ng paggamit ng malupit na pestisidyo sa kalusugan ng tao?,"Puwede mong subukan ang ang sobrang paggamit o maling paggamit ng malalakas na pestisidyo ay may masamang epekto sa tao:
pagkalason (hilo, pagsusuka, hirap sa paghinga)
pangmatagalang sakit gaya ng kanser, problema sa atay o bato
pagkalapnos ng balat o iritasyon sa mata
maaari rin itong makontamina ang tubig at lupa
paalala:
gumamit lang ng pestisidyo kapag kailangan
sundin ang tamang sukat, oras, at gamit
gumamit ng personal protective equipment (ppe) tulad ng gloves, mask, at apron
maghugas agad pagkatapos gumamit Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'paggamit', 'malupit', 'pestisidyo', 'kalusugan', 'tao']"
Ano ang mga gamit na kinakailangan para sa tamang pag-aani ng palay gamit ang makina?,"Puwede mong subukan ang kung gagamit ng makina sa pag-aani ng palay, narito ang mga kailangang kagamitan:
combine harvester â€“ ginagamit sa sabay-sabay na pag-aani, paggiik, at paglilinis
reaper â€“ pangputol ng palay pero hindi ginigiik
threshing machine â€“ para ihiwalay ang butil sa dayami kung mano-mano ang pagputol
mechanical dryer â€“ parapatuyuin agad ang palay
sacks at weighing scale â€“ para sa maayos na imbakan at pagbilang ng ani
benepisyo ng makina: mas mabilis, pantay, at mas kaunting aberya gaya ng butil na nawawala o nasasayang. Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['gamit', 'kinakailangan', 'tamang', 'pagaani', 'palay', 'gamit', 'makina']"
Paano mag-apply ng foliar fertilizer sa palay?,"Huwag kalimutang ang foliar fertilizer ay abono na iniispray sa dahon ng palay.
paano gamitin:
gamitin ito sa umaga o hapon, iwasan ang tirik na araw
siguraduhing pantay ang pag-spray sa lahat ng bahagi ng tanim
gamitin ito bilang supplement, hindi pamalit sa abono sa lupa
mag-apply sa tamang growth stage (karaniwang sa tillering o panicle initiation)
benepisyo: mas mabilis ang absorption ng nutrients at masigla ang tubo ng palay. Isang mabisang paraan ay ang sumangguni rin sa technician o extension worker kung may alinlangan.","['magapply', 'foliar', 'fertilizer', 'palay']"
Paano matutulungan ng mulching ang pagyabong ng palay?,"Kung maaari, ang mulching ay paglalagay ng pantakip sa lupa gaya ng dayami.
benepisyo:
pinipigil ang pag-usbong ng damo
pinapanatili ang halumigmig ng lupa
binabawasan ang sobrang init at erosion
nakakatulong sa pagdagdag ng organic matter sa lupa
resulta: mas malusog ang lupa, mas maganda ang tubo ng palay. Mahalaga na sumangguni rin sa technician o extension worker kung may alinlangan.","['matutulungan', 'mulching', 'pagyabong', 'palay']"
"Ano ang mga uri ng pataba na nakatutok sa nitrogen, phosphorus, at potassium para sa palay?","Tandaan na may tatlong pangunahing nutrient na kailangan ng palay:
nitrogen (n) â€“ para sa paglago ng dahon (hal: urea)
phosphorus (p) â€“ para sa ugat at pamumulaklak (hal: 16-20-0 o ammophos)
potassium (k) â€“ para sa resistensya at pagbunga (hal: 0-0-60 o muriate of potash)
balanced fertilizers gaya ng 14-14-14 o 16-16-16 ay may lahat ng ito.
 Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['uri', 'pataba', 'nakatutok', 'nitrogen', 'phosphorus', 'potassium', 'palay']"
Ano ang mga gamit na kinakailangan para sa tamang pag-aani ng palay gamit ang makina?,"Puwede mong subukan ang combine harvester â€“ sabay na nag-aani, naggigiik, at naglilinis
reaper â€“ pamputol ng palay
threshing machine â€“ naghihiwalay ng butil mula sa dayami
mechanical dryer â€“ pantuyo ng palay
sako at timbangan â€“ para sa maayos na imbakan at bilang ng ani Kung maaari, sumangguni rin sa technician o extension worker kung may alinlangan.","['gamit', 'kinakailangan', 'tamang', 'pagaani', 'palay', 'gamit', 'makina']"
Ano ang mga benepisyo ng paggamit ng Integrated Pest Management (IPM) sa palayan?,"Puwede mong subukan ang binabawasan ang paggamit ng pestisidyo
pinoprotektahan ang kalikasan at kalusugan
ginagamit ang natural na kaaway ng peste
nakakatipid sa gastos
mas sustainable at ligtas para sa mga magsasaka at tanim
 Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['benepisyo', 'paggamit', 'integrated', 'pest', 'management', 'ipm', 'palayan']"
Paano malalaman kung ang palay ay nagiging overripe na?,"Puwede mong subukan ang kulay ginto ang mga uhay pero nagsisimula nang malagas
ang butil ay sobrang tuyo at madaling mabasag
mas madali itong mahulog sa lupa sa pag-aani
tip: umane kapag 80â€“85% ng butil sa uhay ay hinog para maiwasan ito. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['malalaman', 'palay', 'nagiging', 'overripe']"
Paano maiwasan ang pagkalugi sa pagbenta ng palay sa merkado?,"Mahalaga na magbenta sa tamang panahon â€“ hintayin ang mataas na presyo
sumali sa kooperatiba o farmersâ€™ group
gamitin ang tamang timbangan at kalidad ng palay
iwasan ang middleman kung kaya
gumamit ng apps o tech para masubaybayan ang presyo ng palay Isang mabisang paraan ay ang sumangguni rin sa technician o extension worker kung may alinlangan.","['maiwasan', 'pagkalugi', 'pagbenta', 'palay', 'merkado']"
Paano mapapa-boost ang productivity ng palay sa pamamagitan ng advanced irrigation techniques?,"Para mas maging epektibo, gamitin ang alternate wetting and drying (awd) â€“ tipid sa tubig pero mataas ang ani
mag-install ng irrigation control structures tulad ng pipa at kanal
gumamit ng drip o sprinkler system sa upland rice
resulta: tipid sa tubig, mas maraming ani, at mas kaunting sakit/peste. Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['mapapaboost', 'productivity', 'palay', 'advanced', 'irrigation', 'techniques']"
Ano ang mga karaniwang sakit na tumatama sa palay na may kinalaman sa mga insekto?,"Huwag kalimutang tungro â€“ dala ng berdeng leafhopper
rice black bug damage â€“ sinisipsip ang tangkay
stemborer damage â€“ nauuwi sa deadheart at whitehead
laban: ipm, paggamit ng resistant varieties, at tamang pesticide timing Mahalaga na sumangguni rin sa technician o extension worker kung may alinlangan.","['karaniwang', 'sakit', 'tumatama', 'palay', 'kinalaman', 'insekto']"
Paano gamitin ang rice hulls bilang organic na pataba?,"Mas mainam kung sunugin ang ipa para maging carbonized rice hull (crh)
ihalo sa compost o abono
pwede ring gamitin bilang mulch o soil conditioner
benepisyo: binubuhay ang lupa at pinabibilis ang pagtubo ng tanim Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['gamitin', 'rice', 'hulls', 'organic', 'pataba']"
Paano suriin ang kalidad ng tubig na ginagamit sa irigasyon ng palayan?,"Kung gusto mong mas makasiguro, tingnan ang kulay at amoy â€“ dapat malinaw at walang baho
sukatin ang ph level (ideal: 5.5â€“7.0)
i-check kung may asin, langis, o kemikal
pwede rin magpa-laboratory test sa da o lgu
tamang tubig = mas malusog na palay
 Isang mabisang paraan ay ang sumangguni rin sa technician o extension worker kung may alinlangan.","['suriin', 'kalidad', 'tubig', 'ginagamit', 'irigasyon', 'palayan']"
Ano ang mga teknolohiyang tumutulong sa mga magsasaka upang mapadali ang paghahanda ng bukirin?,"Puwede mong subukan ang rotavator at harrow â€“ pangdurog ng lupa
laser leveler â€“ pantay na lupa = pantay na patubig
drone â€“ para sa mabilis na survey at pagtatanim
rice transplanter â€“ pantay at mabilis na paglipat ng punla
bentahe: mas mabilis, mas tipid, mas magaan sa katawan Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['teknolohiyang', 'tumutulong', 'magsasaka', 'upang', 'mapadali', 'paghahanda', 'bukirin']"
Ano ang epekto ng climate change sa mga sistema ng irigasyon sa palayan?,"Tandaan na hindi regular ang ulan â€“ kulang o sobra sa tubig
mas mabilis matuyo ang lupa dahil sa init
baha na sumisira sa irigasyon
solusyon: mag-imbak ng tubig, gumamit ng awd, at ayusin ang drainage Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'climate', 'change', 'sistema', 'irigasyon', 'palayan']"
Paano magtanim ng palay sa lugar na madalas magkaroon ng typhoon?,"Isang mabisang paraan ay ang gumamit ng early-maturing o storm-resistant varieties
mag-adjust ng planting calendar para iwasan ang panahon ng bagyo
patagin at palakasin ang levees o pilapil
gumamit ng raised beds kung sobrang putik ang lupa
magtanim ng buffer crops sa paligid
 Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['magtanim', 'palay', 'lugar', 'madalas', 'magkaroon', 'typhoon']"
Paano magsagawa ng post-harvest treatment sa palay para mapahaba ang shelf life nito?,"Tandaan na patuyuin agad ang palay sa tamang moisture content (14%)
gumamit ng mechanical dryer para pantay ang pagpapatuyo
ilagay sa malinis, tuyong sako
itago sa maaliwalas na lugar na walang peste at kahalumigmigan
pwede ring gumamit ng hermetic storage (airtight na container) Kung gusto mong mas makasiguro, sumangguni rin sa technician o extension worker kung may alinlangan.","['magsagawa', 'postharvest', 'treatment', 'palay', 'mapahaba', 'shelf', 'life']"
Gaano katagal bago maani ang palay?,"Puwede mong subukan ang inbred varieties: 110â€“120 araw
hybrid varieties: 100â€“110 araw
mula sa tanim hanggang anihan, nasa 3 hanggang 4 na buwan ang kabuuang tagal. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['gaano', 'katagal', 'maani', 'palay']"
Anong mga uri ng palay ang tinatanim sa Pilipinas?,"Isang mabisang paraan ay ang inbred varieties â€“ karaniwang ginagamit, mura ang binhi (hal: nsic rc222)
hybrid varieties â€“ mas mataas ang ani, pero mas mahal ang binhi (hal: mestiso 20)
specialty rice â€“ organic, black rice, o aromatic rice tulad ng jasponica
tip: piliin ang variety base sa klima, lupa, at panahon ng pagtatanim.
 Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'uri', 'palay', 'tinatanim', 'pilipinas']"
Paano magtanim ng palay?,"Para mas maging epektibo, transplanting â€“ tumubo muna sa seedbed, saka ililipat sa palayan (mas kontrolado)
direct seeding â€“ binhi ay isasabog o ididiretso sa lupa (mas mabilis, mas tipid)
hakbang:
maghanda ng lupa
pumili ng tamang binhi
magtanim sa tamang panahon
maglagay ng pataba
aalagaan laban sa peste at damo Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['magtanim', 'palay']"
Ano ang mga sakit sa palay?,"Kung maaari, karaniwan:
tungro â€“ paninilaw ng dahon, hindi lumalaki
blast â€“ may mga batik sa dahon
bacterial blight â€“ pagkaburo ng dahon
sheath blight â€“ pamumuti at pagkabulok sa bandang ibaba( kulang sa nutrients, labis na tubig, o sobrang siksik ang tanim)
 Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['sakit', 'palay']"
Paano maiwasan ang mga sakit sa palay?,"Mahalaga na gumamit ng resistant varieties
iwasan ang sobrang tubig at sobrang pataba
magtanim ng tamang distansya
linisin ang paligid ng palayan
gumamit ng integrated pest management (ipm)
huwag paulit-ulit sa iisang variety Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['maiwasan', 'sakit', 'palay']"
Paano iwasan ang mga damo sa palayan?,"Kung gusto mong mas makasiguro, gumamit ng pre-emergent herbicide bago tumubo ang damo
magbabad ng tubig (water management) para hindi tumubo
weeding â€“ mano-mano o gamit ang rotary weeder
magmulch o gumamit ng straw sa paligid
regular na pagmamasid ay susi para maagapan. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['iwasan', 'damo', 'palayan']"
Paano malalaman kung kulang sa nutrisyon ang palay?,"Isang mabisang paraan ay ang dilaw o maputla ang dahon = kulang sa nitrogen
mabagal ang paglaki = kulang sa phosphorus
mahinang resistensya at madaling dapuan ng sakit = kulang sa potassium
gumamit ng leaf color chart (lcc) o tissue test para masigurado Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['malalaman', 'nutrisyon', 'palay']"
Paano protektahan ang palay sa tag-init?,"Kung maaari, gumamit ng varieties na drought-tolerant
magpatubig gamit ang alternate wetting and drying (awd)
magmulch ng dayami sa paligid para panatilihin ang halumigmig
magtanim sa mas maagang panahon bago tumindi ang init Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['protektahan', 'palay', 'taginit']"
Ano ang dapat gawin para protektahan ang palay sa tag-ulan?,"Karaniwang ginagawa ng mga magsasaka ang gumamit ng varieties na resistant sa baha
magtanim sa raised bed o elevated field
siguraduhing maayos ang kanal at drainage
iwasan ang sobrang siksik na pagtatanim para hindi magka-sakit ang palay
gumamit ng rain gauge para masubaybayan ang ulan
 Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['gawin', 'protektahan', 'palay', 'tagulan']"
Paano malalaman kung luma na ang palay?,"Kung gusto mong mas makasiguro, matigas at tuyo na ang butil
ang butil ay walang kislap o kulang sa kalidad
ang butil ay mas maliit at hindi na kasing tigas ng bagong harvest
kung naabot na ang itinakdang storage life o oras ng pag-iimbak, maaaring mabawasan na ang kalidad ng palay. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['malalaman', 'luma', 'palay']"
Paano maiiwasan ang mababang ani ng palay?,"Isang mabisang paraan ay ang piliin ang tamang uri ng binhi para sa iyong lugar
pagtutok sa tamang pagsasaka: tamang distansya, pag-aalaga, at pataba
iwasan ang sobrang o kulang sa tubig at magpatubig nang regular
pangangalaga sa kalusugan ng tanim: protektahan ang palay laban sa peste at sakit
gamitin ang makabagong teknolohiya tulad ng irrigation system, sensors, at data-driven farming tools Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['maiiwasan', 'mababang', 'ani', 'palay']"
Ilang araw bago tumubo ang binhi ng palay?,"Tandaan na karaniwan, 3-7 araw matapos itanim ang binhi, magsisimulang tumubo. ang tamang lupa at tubig ay mahalaga para sa mabilis na pagtubo. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['ilang', 'araw', 'tumubo', 'binhi', 'palay']"
Paano pumili ng magandang binhi ng palay?,"Para mas maging epektibo, tingnan ang kalidad ng binhi â€“ dapat ay malinis, buo, at walang sakit
pumili ng varieties na angkop sa klima at lupa
piliin ang hybrid varieties kung nais ng mataas na ani, o inbred varieties kung nais ng mura at pangmatagalang gamit
i-verify ang binhi sa mga lokal na ahensya tulad ng philrice o mga eksperto Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['pumili', 'magandang', 'binhi', 'palay']"
Kailan dapat mag-abono sa palay?,"Para mas maging epektibo, bago magtanim: mag-apply ng basal fertilizer (phosphorus, potassium)
pagkatapos ng unang linggo: nitrogen (kung kinakailangan)
bago magtubo ang uhay: para masustentuhan ang paglaki
sa paminsang interval sa panahon ng pamumunga para sa dagdag nutrisyon Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['kailan', 'magabono', 'palay']"
Ano ang epekto ng sobrang ulan sa palay?,"Kung maaari, pagka-baha â€“ ang sobrang ulan ay maaaring magdulot ng pagbaha, na maaaring magpahina ng mga ugat at magdulot ng pagkabulok ng mga halaman
pagka-sira ng mga uhay â€“ ang mabigat na ulan ay maaaring magdulot ng pagkabasag o pagkasira ng uhay at magpababa ng kalidad ng butil
pagka-kontaminado ng sakit â€“ tumataas ang panganib ng mga sakit tulad ng bacterial blight at sheath blight. Tandaan na sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'sobrang', 'ulan', 'palay']"
Anong natural na paraan ng pagtaboy sa kuhol?,"Para mas maging epektibo, gamitin ang mga halamang gamot tulad ng tobacco at bawang na inilalagay sa palayan
maglagay ng asin sa mga lugar kung saan madalas magtago ang mga kuhol Mahalaga na sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'natural', 'pagtaboy', 'kuhol']"
Anong epekto ng baha sa palay?,"Para mas maging epektibo, pagkabasag ng mga tangkay ng palay
pagbaba ng kalidad ng ani dahil sa pagkabasa ng mga butil
pagdami ng mga sakit tulad ng sheath blight o brown spot
pagkamatay ng mga tanim kung matagal ang pagbaha Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'epekto', 'baha', 'palay']"
Paano linisin ang palayan bago magtanim?,"Kung gusto mong mas makasiguro, tanggalin ang mga damo sa pamamagitan ng mechanical weeder o manual na pag-alis
magiging madali ang paghahanda kung may tamang drainage system upang hindi magtubig ang palayan
i-level ang lupa at alisin ang mga natirang halaman o debris
maglagay ng organic matter tulad ng compost para mas maging fertile ang lupa Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['linisin', 'palayan', 'magtanim']"
Puwede bang magtanim ng palay ng dalawang beses sa isang taon?,"Tandaan na oo, puwede. sa mga lugar na may tamang irigasyon at maayos na klima, maaari magtanim ng palay dalawang beses sa isang taon (kadalasan tag-init at tag-ulan). sa ganitong paraan, mas mataas ang pagkakataon ng magandang ani, basta't may sapat na oras ng pahinga ang lupa at tamang pangangalaga sa mga pananim. Mas mainam kung sumangguni rin sa technician o extension worker kung may alinlangan.","['puwede', 'bang', 'magtanim', 'palay', 'dalawang', 'beses', 'taon']"
Paano protektahan ang palay laban sa mga insekto?,"Kung gusto mong mas makasiguro, gamitin ang integrated pest management (ipm) na kombinasyon ng natural na paraan (predator insects) at tamang pag-spray ng pesticide.
magtanim ng resistant varieties ng palay
gumamit ng organic pesticide tulad ng neem oil
magtanim ng tamang distansya para hindi magsiksikan at madaling dumaan ang hangin
regular na surveillance upang maagapan ang mga peste sa kanilang early stages. Karaniwang ginagawa ng mga magsasaka ang sumangguni rin sa technician o extension worker kung may alinlangan.","['protektahan', 'palay', 'insekto']"
Paano gamitin ang compost mula sa dayami ng palay?,"Mahalaga na gilingin ang dayami at gawing compost sa pamamagitan ng paghahalo ng iba pang mga organic matter tulad ng manure at kitchen waste
i-apply ang compost sa lupa bago magtanim ng palay upang mapabuti ang kalidad ng lupa
maglagay ng compost sa mga tagiliran ng palayan para matulungan ang mga ugat ng palay na mag-absorb ng nutrients. Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['gamitin', 'compost', 'dayami', 'palay']"
Saan makakakuha ng libreng binhi ng palay?,"Mas mainam kung philrice (philippine rice research institute) â€“ nag-aalok ng mga libreng binhi sa mga proyekto o programa
lgus (local government units) â€“ maaaring magbigay ng libreng binhi sa mga magsasaka sa mga proyekto o assistance program
mga agricultural cooperatives o farmersâ€™ associations â€“ karaniwang may mga programang nagbibigay ng libreng binhi. Huwag kalimutang sumangguni rin sa technician o extension worker kung may alinlangan.","['makakakuha', 'libreng', 'binhi', 'palay']"
Paano gumamit ng organic fertilizer sa palay?,"Isang mabisang paraan ay ang mag-apply ng organic fertilizer tulad ng compost o animal manure sa simula ng pagtatanim
gumamit ng liquid organic fertilizer para magbigay ng dagdag nutrisyon sa mga halaman
i-mulch ang palayan gamit ang dayami para mapanatili ang moisture at maiwasan ang pagkatuyo ng lupa. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['gumamit', 'organic', 'fertilizer', 'palay']"
Anong buwan kadalasang may peste?,"Isang mabisang paraan ay ang kadalasang dumadami ang mga peste sa panahon ng tag-ulan (june to october), dahil dito tumutubo ang damo at iba pang host plants ng mga peste.
tingnan ang mga tagsibol at early summer months (march-may), dahil dito ay magsisimula ang aktibidad ng ilang mga peste tulad ng rice thrips at leafhoppers. Para mas maging epektibo, sumangguni rin sa technician o extension worker kung may alinlangan.","['anong', 'buwan', 'kadalasang', 'peste']"
Ano ang epekto ng tagtuyot sa palay?,"Karaniwang ginagawa ng mga magsasaka ang mabagal na paglaki ng palay
pagkamatay ng mga uhay o hindi magandang pagkakaroon ng butil
pagka-damage sa root system, kayaâ€™t mahirap mag-absorb ng nutrients at tubig
mababang ani at kawalan ng sustansya sa mga butil. Puwede mong subukan ang sumangguni rin sa technician o extension worker kung may alinlangan.","['epekto', 'tagtuyot', 'palay']"
